keyword_a,keyword_b,weight
"chickens/physiology","food supply",1
"chickens/physiology","housing, animal",10
"chickens/physiology","stakeholder",1
"chickens/physiology","sustainability",1
"chickens/physiology","united states",1
"conservation of natural resources/methods","environment",4
"conservation of natural resources/methods","food supply",3
"conservation of natural resources/methods","housing, animal",1
"conservation of natural resources/methods","stakeholder",1
"conservation of natural resources/methods","sustainability",2
"conservation of natural resources/methods","united states",2
"environment","food supply",3
"environment","housing, animal",1
"environment","stakeholder",1
"environment","sustainability",11
"environment","united states",2
"food supply","housing, animal",1
"food supply","stakeholder",1
"food supply","sustainability",4
"food supply","united states",1
"housing, animal","stakeholder",1
"housing, animal","sustainability",1
"housing, animal","united states",1
"stakeholder","sustainability",2
"stakeholder","united states",1
"sustainability","united states",2
"agriculture/methods","carbon sequestration",2
"agriculture/methods","crops, agricultural/growth & development",14
"carbon sequestration","climate resilience",1
"carbon sequestration","crops, agricultural/growth & development",1
"carbon sequestration","food security",1
"climate resilience","crops, agricultural/growth & development",5
"crops, agricultural/growth & development","food security",1
"surveillance","swine",3
"animals","cattle diseases/epidemiology",11
"cattle","cattle diseases/epidemiology",11
"cattle","dairying/instrumentation",2
"cattle diseases/epidemiology","dairying/instrumentation",1
"cattle diseases/epidemiology","milk/microbiology",1
"dairying/instrumentation","milk/microbiology",1
"behavior","management",1
"behavior","plf",3
"behavior","ruminant",1
"management","plf",2
"management","ruminant",1
"plf","ruminant",2
"ammonia","animal husbandry/methods",2
"ammonia","animals",9
"ammonia","broiler",3
"ammonia","salmonella",1
"animal husbandry/methods","broiler",4
"animal husbandry/methods","salmonella",2
"animals","broiler",19
"animals","salmonella",5
"broiler","salmonella",1
"cattle","innate immunity",3
"circular economy","renewable energy",1
"circular economy","solar energy",1
"renewable energy","solar energy",2
"animal husbandry","attitude",1
"animal husbandry","pregnancy",2
"animal husbandry","swine",2
"animals","attitude",3
"animals","swine",29
"attitude","pregnancy",1
"attitude","swine",1
"attitude","united states",1
"pregnancy","swine",1
"pregnancy","united states",2
"swine","united states",1
"animal nutritional physiological phenomena","models, statistical",1
"animal nutritional physiological phenomena","sheep",3
"animal nutritional physiological phenomena","time factors",2
"animals","models, statistical",6
"models, statistical","sheep",2
"models, statistical","time factors",1
"animals","viral vaccines/immunology",5
"sheep","viral vaccines/immunology",1
"dairy cattle","lameness",4
"plf","swine",3
"plf","welfare",8
"swine","welfare",1
"body weight","sheep",3
"mastitis","methane",1
"mastitis","milk yield",2
"mastitis","polyphenols",1
"methane","milk yield",1
"milk yield","polyphenols",1
"agriculture","conservation of natural resources",12
"agriculture","environmental monitoring/methods",9
"agriculture","forests",7
"agriculture","spatio-temporal analysis",2
"conservation of natural resources","spatio-temporal analysis",2
"environmental monitoring/methods","spatio-temporal analysis",1
"forests","spatio-temporal analysis",1
"animal feed/analysis","diet",1
"animal feed/analysis","feed efficiency",4
"animal feed/analysis","feeding behavior",6
"animal feed/analysis","machine learning",7
"beef cattle","cattle",3
"beef cattle","diet",1
"beef cattle","feed efficiency",1
"beef cattle","feeding behavior",1
"beef cattle","machine learning",3
"cattle","diet",2
"cattle","eating",8
"cattle","feed efficiency",1
"cattle","feeding behavior",9
"diet","eating",2
"diet","feed efficiency",2
"diet","feeding behavior",1
"diet","machine learning",2
"eating","feeding behavior",7
"eating","machine learning",3
"feed efficiency","machine learning",3
"feeding behavior","machine learning",2
"china","machine learning",3
"china","sustainable development",5
"machine learning","sustainable development",2
"animals","diagnosis",5
"animals","risk factors",14
"animals","rumen",12
"cattle","diagnosis",3
"cattle","risk factors",5
"cattle","rumen",6
"dairy cow","diagnosis",1
"dairy cow","risk factors",2
"dairy cow","rumen",1
"diagnosis","lactation",1
"diagnosis","risk factors",1
"diagnosis","rumen",1
"lactation","risk factors",2
"lactation","rumen",4
"risk factors","rumen",1
"biomass","conservation of natural resources",3
"biomass","forests",3
"biomass","south africa",1
"biomass","wood",1
"conservation of natural resources","south africa",3
"conservation of natural resources","wood",1
"forests","south africa",1
"forests","wood",1
"south africa","wood",1
"animals","cheese",4
"animals","nutritive value",7
"cattle","cheese",2
"cattle","nutritive value",2
"cattle","sheep",14
"cheese","goats",1
"cheese","milk",4
"cheese","nutritive value",1
"cheese","sheep",3
"goats","milk",2
"goats","nutritive value",1
"goats","sheep",9
"milk","nutritive value",1
"milk","sheep",3
"nutritive value","sheep",2
"animals","cattle diseases",8
"animals","european union",2
"cattle","cattle diseases",8
"cattle","european union",1
"cattle diseases","cattle diseases/epidemiology",1
"cattle diseases","european union",1
"cattle diseases/epidemiology","european union",1
"animals","fermentation",18
"animals","gastrointestinal microbiome",9
"behavior","feed efficiency",1
"behavior","fermentation",1
"behavior","gastrointestinal microbiome",1
"behavior","lactation",3
"behavior","milk/metabolism",2
"behavior","rumen/metabolism",1
"behavior, animal","feed efficiency",1
"behavior, animal","fermentation",1
"behavior, animal","gastrointestinal microbiome",1
"behavior, animal","lactation",4
"behavior, animal","milk/metabolism",1
"behavior, animal","rumen/metabolism",1
"feed efficiency","fermentation",2
"feed efficiency","gastrointestinal microbiome",1
"feed efficiency","milk/metabolism",5
"fermentation","gastrointestinal microbiome",2
"fermentation","lactation",5
"fermentation","milk/metabolism",4
"fermentation","rumen/metabolism",12
"gastrointestinal microbiome","lactation",2
"gastrointestinal microbiome","milk/metabolism",1
"gastrointestinal microbiome","rumen/metabolism",1
"lactation","milk/metabolism",22
"conservation of natural resources","perception",1
"ecosystem","perception",1
"animal husbandry/instrumentation","animals",10
"animal husbandry/instrumentation","cattle",3
"animal husbandry/instrumentation","dairying/instrumentation",2
"animal husbandry/instrumentation","farms",1
"animal husbandry/instrumentation","herbivory",1
"cattle","farms",20
"dairying/instrumentation","farms",1
"dairying/instrumentation","herbivory",1
"farms","herbivory",1
"animals","climate resilience",32
"animals","geography",5
"animals","rivers",3
"breeding","climate resilience",4
"breeding","ecosystem",1
"breeding","geography",1
"breeding","grassland",1
"breeding","population density",1
"breeding","population dynamics",1
"breeding","reproduction/physiology",1
"breeding","rivers",1
"climate resilience","geography",2
"climate resilience","population density",1
"climate resilience","population dynamics",3
"climate resilience","reproduction/physiology",1
"climate resilience","rivers",2
"ecosystem","geography",3
"ecosystem","population density",3
"ecosystem","population dynamics",4
"ecosystem","reproduction/physiology",1
"ecosystem","rivers",2
"geography","grassland",1
"geography","population density",1
"geography","population dynamics",1
"geography","reproduction/physiology",1
"geography","rivers",1
"grassland","population density",1
"grassland","reproduction/physiology",1
"grassland","rivers",1
"population density","population dynamics",1
"population density","reproduction/physiology",1
"population density","rivers",1
"population dynamics","reproduction/physiology",1
"population dynamics","rivers",1
"reproduction/physiology","rivers",1
"animals","prediction",6
"cattle/metabolism","lactation",6
"cattle/metabolism","prediction",1
"cattle/metabolism","selective breeding",1
"lactation","prediction",1
"lactation","selective breeding",1
"milk/chemistry","prediction",1
"milk/chemistry","selective breeding",1
"prediction","selective breeding",1
"animal welfare","deep learning",6
"animal welfare","object detection",2
"animal welfare","poultry production",2
"deep learning","object detection",5
"deep learning","poultry production",2
"object detection","poultry production",1
"acidosis","animal feed/analysis",1
"acidosis","animals",4
"acidosis","beef",1
"acidosis","behavior",1
"acidosis","cattle",4
"acidosis","cattle diseases",1
"acidosis","cattle/physiology",1
"acidosis","diet/veterinary",1
"acidosis","hydrogen-ion concentration",4
"acidosis","rumen/chemistry",2
"animal feed/analysis","beef",1
"animal feed/analysis","behavior",3
"animal feed/analysis","cattle diseases",1
"animal feed/analysis","hydrogen-ion concentration",2
"animal feed/analysis","rumen/chemistry",1
"animals","beef",3
"animals","rumen/chemistry",5
"beef","behavior",1
"beef","cattle",1
"beef","cattle diseases",1
"beef","cattle/physiology",2
"beef","diet/veterinary",1
"beef","hydrogen-ion concentration",1
"beef","rumen/chemistry",1
"behavior","cattle diseases",1
"behavior","cattle/physiology",5
"behavior","diet/veterinary",3
"behavior","hydrogen-ion concentration",1
"behavior","rumen/chemistry",1
"cattle","cattle/physiology",5
"cattle","hydrogen-ion concentration",7
"cattle","rumen/chemistry",3
"cattle diseases","cattle/physiology",1
"cattle diseases","diet/veterinary",1
"cattle diseases","hydrogen-ion concentration",1
"cattle diseases","rumen/chemistry",1
"cattle/physiology","hydrogen-ion concentration",2
"cattle/physiology","rumen/chemistry",2
"diet/veterinary","hydrogen-ion concentration",3
"diet/veterinary","rumen/chemistry",1
"hydrogen-ion concentration","rumen/chemistry",2
"animals","antioxidants",3
"animals","apoptosis",3
"animals","chick embryo",5
"animals","chickens",61
"animals","gene expression",4
"animals","liver",5
"animals","ovum",7
"antioxidants","apoptosis",1
"antioxidants","broiler",2
"antioxidants","chick embryo",1
"antioxidants","chickens",2
"antioxidants","gene expression",1
"antioxidants","liver",1
"antioxidants","ovum",1
"apoptosis","broiler",1
"apoptosis","chick embryo",1
"apoptosis","chickens",1
"apoptosis","gene expression",1
"apoptosis","liver",1
"apoptosis","ovum",1
"broiler","chick embryo",2
"broiler","chickens",7
"broiler","gene expression",2
"broiler","liver",1
"broiler","ovum",1
"chick embryo","chickens",2
"chick embryo","gene expression",2
"chick embryo","liver",2
"chick embryo","ovum",2
"chickens","gene expression",1
"chickens","liver",2
"chickens","ovum",5
"gene expression","liver",1
"gene expression","ovum",1
"liver","ovum",1
"ai","animal nutritional physiological phenomena",5
"ai","computer simulation",2
"ai","deep learning",6
"ai","machine learning",10
"ai","prediction",1
"ai","ruminants/physiology",1
"animal nutritional physiological phenomena","computer simulation",2
"animal nutritional physiological phenomena","deep learning",2
"animal nutritional physiological phenomena","machine learning",5
"animal nutritional physiological phenomena","prediction",1
"animal nutritional physiological phenomena","ruminants/physiology",2
"animals","computer simulation",6
"animals","deep learning",13
"computer simulation","deep learning",1
"computer simulation","machine learning",1
"computer simulation","models, theoretical",3
"computer simulation","prediction",1
"computer simulation","ruminants/physiology",1
"deep learning","machine learning",11
"deep learning","models, theoretical",1
"deep learning","prediction",1
"deep learning","ruminants/physiology",1
"machine learning","models, theoretical",2
"machine learning","prediction",4
"machine learning","ruminants/physiology",1
"models, theoretical","prediction",1
"models, theoretical","ruminants/physiology",1
"prediction","ruminants/physiology",1
"circular economy","poultry production",1
"animal feed/analysis","broilers",2
"animal feed/analysis","chickens",6
"animal feed/analysis","meat/analysis",9
"animal feed/analysis","microalgae",5
"animal nutritional physiological phenomena","broilers",1
"animal nutritional physiological phenomena","chickens",2
"animal nutritional physiological phenomena","meat/analysis",5
"animal nutritional physiological phenomena","microalgae",3
"animals","broilers",3
"animals","meat/analysis",20
"animals","microalgae",5
"broilers","chickens",2
"broilers","diet/veterinary",2
"broilers","dietary supplements",1
"broilers","meat/analysis",1
"broilers","microalgae",1
"chickens","diet/veterinary",4
"chickens","dietary supplements",3
"chickens","meat/analysis",4
"chickens","microalgae",1
"diet/veterinary","meat/analysis",8
"diet/veterinary","microalgae",3
"dietary supplements","meat/analysis",1
"dietary supplements","microalgae",1
"meat/analysis","microalgae",3
"bioinformatics","microbiome",2
"amino acids","broiler chicken",2
"amino acids","performance",1
"broiler chicken","performance",1
"animals","energy metabolism",15
"animals","organic agriculture",5
"cattle/physiology","dairy cow",11
"cattle/physiology","dairying",9
"cattle/physiology","dietary supplements",2
"cattle/physiology","energy metabolism",2
"cattle/physiology","milk/metabolism",8
"cattle/physiology","organic agriculture",3
"cattle/physiology","pasture",2
"dairy cow","dietary supplements",3
"dairy cow","eating",4
"dairy cow","energy metabolism",2
"dairy cow","feeding behavior",1
"dairy cow","milk/metabolism",5
"dairy cow","organic agriculture",2
"dairy cow","pasture",3
"dairying","diet/veterinary",4
"dairying","dietary supplements",3
"dairying","eating",3
"dairying","energy metabolism",2
"dairying","feeding behavior",2
"dairying","lactation",10
"dairying","milk/metabolism",6
"dairying","organic agriculture",2
"dairying","pasture",2
"diet/veterinary","energy metabolism",5
"diet/veterinary","organic agriculture",2
"dietary supplements","eating",2
"dietary supplements","energy metabolism",1
"dietary supplements","feeding behavior",2
"dietary supplements","lactation",3
"dietary supplements","milk/metabolism",4
"dietary supplements","organic agriculture",1
"dietary supplements","pasture",1
"eating","energy metabolism",3
"eating","lactation",6
"eating","organic agriculture",1
"energy metabolism","feeding behavior",3
"energy metabolism","lactation",4
"energy metabolism","milk/metabolism",5
"energy metabolism","organic agriculture",2
"energy metabolism","pasture",2
"feeding behavior","milk/metabolism",2
"feeding behavior","organic agriculture",1
"feeding behavior","pasture",2
"lactation","organic agriculture",3
"lactation","pasture",3
"milk/metabolism","organic agriculture",3
"milk/metabolism","pasture",2
"organic agriculture","pasture",2
"conservation","deforestation",1
"agriculture","animal feed",1
"agriculture","eating",1
"agriculture","gene expression profiling",1
"agriculture","genome-wide association study",1
"agriculture","phenotype",2
"agriculture","polymorphism, single nucleotide",2
"agriculture","swine/genetics",1
"animal feed","gene expression profiling",1
"animal feed","genome-wide association study",2
"animal feed","phenotype",3
"animal feed","polymorphism, single nucleotide",2
"animal feed","swine/genetics",1
"animals","genome-wide association study",11
"animals","phenotype",37
"animals","swine/genetics",8
"eating","gene expression profiling",1
"eating","genome-wide association study",1
"eating","phenotype",4
"eating","polymorphism, single nucleotide",1
"eating","swine/genetics",1
"gene expression profiling","genome-wide association study",1
"gene expression profiling","phenotype",1
"gene expression profiling","polymorphism, single nucleotide",1
"gene expression profiling","swine/genetics",1
"genome-wide association study","phenotype",7
"genome-wide association study","polymorphism, single nucleotide",6
"genome-wide association study","swine/genetics",3
"phenotype","polymorphism, single nucleotide",7
"phenotype","swine/genetics",4
"polymorphism, single nucleotide","swine/genetics",3
"animal husbandry/methods","food security",2
"animal husbandry/methods","poultry",12
"animal husbandry/methods","poultry production",2
"animals","food security",6
"animals","poultry production",3
"food security","poultry",3
"food security","poultry production",2
"food security","sustainability",7
"poultry","poultry production",2
"poultry","sustainability",6
"poultry production","sustainability",2
"accelerometer","behaviour",1
"accelerometer","cattle diseases",1
"accelerometer","ovum",1
"accelerometer","seasons",1
"accelerometer","sensor",1
"animals","behaviour",2
"animals","sensor",6
"behaviour","cattle",1
"behaviour","cattle diseases",1
"behaviour","ovum",1
"behaviour","seasons",2
"behaviour","sensor",1
"cattle","ovum",1
"cattle","sensor",4
"cattle diseases","ovum",1
"cattle diseases","seasons",1
"cattle diseases","sensor",1
"ovum","seasons",1
"ovum","sensor",1
"seasons","sensor",2
"animal husbandry/economics","animal welfare",2
"animal husbandry/economics","chickens",2
"animal husbandry/economics","environment",2
"animal husbandry/economics","food safety",1
"animal husbandry/economics","housing, animal/standards",1
"animal husbandry/economics","risk factors",1
"animal husbandry/economics","sustainability",3
"animal husbandry/economics","united states",2
"animal welfare","chickens",6
"animal welfare","food safety",2
"animal welfare","housing, animal/standards",2
"animal welfare","risk factors",2
"animals","food safety",3
"animals","housing, animal/standards",6
"chickens","environment",2
"chickens","food safety",2
"chickens","housing, animal/standards",2
"chickens","risk factors",2
"chickens","sustainability",2
"chickens","united states",1
"environment","food safety",1
"environment","housing, animal/standards",1
"environment","risk factors",2
"food safety","housing, animal/standards",1
"food safety","risk factors",1
"food safety","sustainability",1
"food safety","united states",1
"housing, animal/standards","risk factors",1
"housing, animal/standards","sustainability",1
"housing, animal/standards","united states",1
"risk factors","sustainability",1
"risk factors","united states",1
"ammonia","bioremediation",1
"ammonia","nitrate",1
"bioremediation","nitrate",1
"escherichia coli","water supply",1
"climate resilience","conservation of natural resources",10
"animals","spain",7
"animals","horses",5
"cattle","horses",3
"cattle","swine",8
"feces/microbiology","horses",1
"feces/microbiology","sheep",1
"feces/microbiology","swine",2
"horses","sheep",3
"horses","swine",2
"sheep","swine",4
"meat quality","poultry",1
"biodegradation, environmental","biofuels",1
"biodegradation, environmental","bioremediation",2
"biodegradation, environmental","environmental pollution/prevention & control",1
"biodegradation, environmental","sustainable development",1
"biofuels","bioremediation",1
"biofuels","environmental pollution/prevention & control",1
"biofuels","sustainable development",1
"bioremediation","environmental pollution/prevention & control",1
"bioremediation","sustainable development",1
"environmental pollution/prevention & control","sustainable development",1
"animals","biosensors",3
"animals","milk quality",1
"animals","volatile organic compounds/analysis",5
"biosensors","cattle",1
"biosensors","milk quality",1
"biosensors","milk/chemistry",1
"biosensors","swine",1
"biosensors","volatile organic compounds/analysis",1
"cattle","milk quality",1
"cattle","milk/chemistry",22
"cattle","volatile organic compounds/analysis",2
"milk quality","milk/chemistry",1
"milk quality","swine",1
"milk quality","volatile organic compounds/analysis",1
"milk/chemistry","swine",1
"milk/chemistry","volatile organic compounds/analysis",1
"swine","volatile organic compounds/analysis",1
"animal behavior","animal welfare",2
"animal behavior","animals",1
"animal behavior","behavior, animal",1
"animal behavior","cattle",1
"animal behavior","cattle diseases/epidemiology",1
"animal behavior","dairying/methods",1
"animal behavior","housing, animal",1
"animal behavior","lactation",1
"animal behavior","milk",1
"animal behavior","plf",2
"animal welfare","cattle diseases/epidemiology",1
"animal welfare","dairying/methods",13
"animal welfare","lactation",2
"animal welfare","plf",20
"behavior, animal","cattle diseases/epidemiology",1
"behavior, animal","dairying/methods",4
"behavior, animal","milk",2
"behavior, animal","plf",2
"cattle","dairying/methods",37
"cattle","plf",9
"cattle diseases/epidemiology","dairying/methods",3
"cattle diseases/epidemiology","housing, animal",2
"cattle diseases/epidemiology","lactation",3
"cattle diseases/epidemiology","milk",3
"cattle diseases/epidemiology","plf",1
"dairying/methods","housing, animal",4
"dairying/methods","lactation",14
"dairying/methods","milk",14
"dairying/methods","plf",6
"housing, animal","lactation",2
"housing, animal","milk",1
"housing, animal","plf",5
"lactation","plf",3
"milk","plf",3
"biodiversity","environmental monitoring",2
"biodiversity","machine learning",1
"ecosystem","machine learning",4
"environmental monitoring","machine learning",1
"climate","models, theoretical",4
"climate","population density",1
"models, theoretical","population density",1
"amino acids","swine",2
"agriculture","cattle",9
"agriculture","efficiency",2
"agriculture","food",2
"animals","efficiency",6
"animals","food",2
"cattle","efficiency",2
"cattle","environment",6
"cattle","food",1
"efficiency","environment",2
"efficiency","farms",2
"efficiency","food",1
"environment","food",1
"farms","food",1
"random forest","support vector machine",1
"animal husbandry/methods","animal welfare/standards",2
"animal husbandry/methods","behavior, animal",2
"animal husbandry/methods","housing, animal/standards",1
"animal husbandry/methods","livestock",7
"animal husbandry/methods","video recording",3
"animal welfare/standards","behavior, animal",1
"animal welfare/standards","housing, animal/standards",2
"animal welfare/standards","models, biological",1
"animal welfare/standards","video recording",1
"behavior, animal","housing, animal/standards",1
"behavior, animal","livestock",1
"behavior, animal","models, biological",1
"housing, animal/standards","livestock",1
"housing, animal/standards","models, biological",1
"housing, animal/standards","video recording",1
"livestock","models, biological",2
"livestock","video recording",1
"models, biological","video recording",1
"economics","education",1
"economics","sustainability",1
"education","sustainability",2
"dairy cow","extensive farming",1
"extensive farming","pasture",1
"grazing","stakeholder",1
"conservation of natural resources","lakes",2
"conservation of natural resources","wastewater",1
"lakes","wastewater",1
"animals","eggs",6
"eggs","livestock",1
"eggs","swine",1
"livestock","swine",7
"animals","genomics",14
"cattle/genetics","farms",3
"cattle/genetics","genomics",9
"cattle/genetics","lactation",5
"cattle/genetics","milk/metabolism",8
"cattle/genetics","pregnancy",3
"farms","genomics",1
"farms","lactation",7
"farms","milk/metabolism",2
"farms","pregnancy",5
"genomics","lactation",2
"genomics","milk/metabolism",3
"genomics","pregnancy",1
"lactation","pregnancy",12
"milk/metabolism","pregnancy",8
"biosensors","food safety",1
"dairy sheep","precision farming",1
"animals","body composition",6
"animals","carbon dioxide/analysis",8
"body composition","body weight",1
"body composition","carbon dioxide/analysis",1
"body composition","cattle/physiology",1
"body composition","dairy cow",1
"body composition","dairying",1
"body composition","energy metabolism",2
"body composition","lactation",1
"body composition","milk/metabolism",1
"body composition","organic agriculture",1
"body composition","pasture",1
"body composition","poaceae",1
"body weight","carbon dioxide/analysis",1
"body weight","cattle/physiology",4
"body weight","dairy cow",1
"body weight","dairying",1
"body weight","energy metabolism",1
"body weight","lactation",1
"body weight","milk/metabolism",3
"body weight","organic agriculture",1
"body weight","poaceae",1
"carbon dioxide/analysis","cattle/physiology",3
"carbon dioxide/analysis","dairy cow",3
"carbon dioxide/analysis","dairying",3
"carbon dioxide/analysis","energy metabolism",1
"carbon dioxide/analysis","lactation",1
"carbon dioxide/analysis","milk/metabolism",1
"carbon dioxide/analysis","organic agriculture",1
"carbon dioxide/analysis","pasture",2
"carbon dioxide/analysis","poaceae",1
"cattle/physiology","poaceae",1
"dairy cow","poaceae",1
"dairying","poaceae",1
"energy metabolism","poaceae",1
"lactation","poaceae",3
"milk/metabolism","poaceae",2
"organic agriculture","poaceae",1
"animals","breeding/methods",15
"animals","china",10
"breeding/methods","china",1
"breeding/methods","phylogeny",1
"breeding/methods","polymorphism, single nucleotide",1
"breeding/methods","sheep/genetics",3
"china","phylogeny",1
"china","polymorphism, single nucleotide",1
"china","sheep/genetics",1
"phylogeny","polymorphism, single nucleotide",1
"phylogeny","sheep/genetics",1
"estrus detection","internet of things",1
"estrus detection","machine learning",1
"estrus detection","smart farm",1
"internet of things","machine learning",1
"internet of things","smart farm",1
"machine learning","smart farm",1
"circular economy","nutrigenomics",1
"grazing management","ruminant",1
"cattle diseases/diagnosis","dairying",4
"cattle diseases/diagnosis","plf",4
"dairying","lameness, animal/diagnosis",2
"dairying","plf",4
"lameness, animal/diagnosis","plf",3
"bibliometric analysis","environment",1
"bibliometric analysis","health",1
"environment","health",3
"ecology","wood",1
"agriculture","animal husbandry",8
"agriculture","ruminants",3
"agriculture","sheep",5
"agriculture","survey",1
"agriculture","swine",4
"animal husbandry","farms",5
"animal husbandry","livestock",11
"animal husbandry","plf",2
"animal husbandry","sheep",2
"animal husbandry","survey",1
"animals","survey",2
"cattle","livestock",14
"cattle","ruminants",6
"cattle","survey",3
"farms","plf",7
"farms","ruminants",3
"farms","sheep",6
"farms","survey",1
"farms","swine",4
"livestock","plf",10
"livestock","ruminants",6
"livestock","sheep",7
"livestock","survey",2
"plf","ruminants",1
"plf","sheep",5
"plf","survey",2
"ruminants","survey",1
"ruminants","swine",3
"sheep","survey",1
"survey","swine",1
"animals","soil",4
"china","conservation of natural resources",3
"china","ecosystem",2
"china","grassland",3
"china","sheep",1
"china","soil",1
"conservation of natural resources","sheep",1
"conservation of natural resources","soil",4
"ecosystem","soil",1
"grassland","sheep",2
"grassland","soil",2
"sheep","soil",1
"animal welfare","monitoring",1
"animal welfare","sensor",3
"animal welfare","sheep",6
"cattle","monitoring",2
"monitoring","plf",2
"monitoring","sensor",2
"monitoring","sheep",1
"plf","sensor",6
"sensor","sheep",2
"animal welfare","cattle/physiology",8
"animal welfare","dairy cow",2
"animal welfare","europe",3
"cattle/physiology","dairying/methods",10
"cattle/physiology","europe",1
"cattle/physiology","housing, animal/standards",2
"cattle/physiology","welfare",5
"dairy cow","dairying/methods",5
"dairy cow","europe",1
"dairy cow","housing, animal/standards",1
"dairy cow","welfare",1
"dairying/methods","europe",2
"dairying/methods","housing, animal/standards",1
"dairying/methods","welfare",6
"europe","housing, animal/standards",1
"europe","welfare",1
"housing, animal/standards","welfare",2
"adaptation","food security",2
"adaptation","mitigation",3
"climate resilience","mitigation",2
"food security","mitigation",1
"bioenergy","circular economy",2
"bioenergy","wastewater",1
"circular economy","wastewater",2
"diet/veterinary","gene expression",2
"diet/veterinary","sheep",4
"gene expression","sheep",2
"ammonia","animal husbandry",1
"ammonia","livestock production",3
"ammonia","pig",1
"animal husbandry","livestock production",1
"animal husbandry","pig",1
"livestock production","pig",1
"animals","genetic variation",11
"animals","nutrition",8
"genetic variation","nutrition",1
"genetic variation","reproduction/physiology",1
"genetic variation","swine",1
"genetic variation","swine/physiology",1
"nutrition","reproduction/physiology",1
"nutrition","swine",1
"nutrition","swine/physiology",1
"reproduction/physiology","swine",1
"reproduction/physiology","swine/physiology",1
"swine","swine/physiology",1
"animals","cheese/analysis",4
"cheese/analysis","climate",1
"agriculture/methods","animal husbandry/methods",4
"agriculture/methods","animals",11
"agriculture/methods","biodiversity",3
"agriculture/methods","conservation of natural resources",7
"agriculture/methods","environment",3
"agriculture/methods","environmental pollution/prevention & control",2
"agriculture/methods","food supply",3
"agriculture/methods","nitrogen/metabolism",3
"agriculture/methods","nutrient management",3
"agriculture/methods","soil",2
"animal husbandry/methods","biodiversity",1
"animal husbandry/methods","conservation of natural resources",6
"animal husbandry/methods","environmental pollution/prevention & control",2
"animal husbandry/methods","nitrogen/metabolism",2
"animal husbandry/methods","nutrient management",2
"animal husbandry/methods","soil",1
"animals","environmental pollution/prevention & control",2
"animals","nitrogen/metabolism",9
"animals","nutrient management",2
"biodiversity","environment",4
"biodiversity","environmental pollution/prevention & control",1
"biodiversity","food supply",1
"biodiversity","nitrogen/metabolism",1
"biodiversity","nutrient management",1
"biodiversity","soil",1
"conservation of natural resources","environment",5
"conservation of natural resources","environmental pollution/prevention & control",2
"conservation of natural resources","food supply",3
"conservation of natural resources","nitrogen/metabolism",2
"conservation of natural resources","nutrient management",2
"environment","environmental pollution/prevention & control",1
"environment","nitrogen/metabolism",2
"environment","nutrient management",1
"environment","soil",1
"environmental pollution/prevention & control","food supply",1
"environmental pollution/prevention & control","nitrogen/metabolism",2
"environmental pollution/prevention & control","nutrient management",2
"environmental pollution/prevention & control","soil",1
"food supply","nitrogen/metabolism",1
"food supply","nutrient management",1
"food supply","soil",1
"nitrogen/metabolism","nutrient management",2
"nitrogen/metabolism","soil",1
"nutrient management","soil",1
"agriculture","global warming",1
"animals","global warming",3
"environment","global warming",1
"microbiome","sheep",2
"feeding behavior","grazing",1
"feeding behavior","video recording",1
"grazing","pasture",1
"grazing","video recording",1
"pasture","video recording",1
"animals","genetic parameters",3
"animals","prediction accuracy",5
"animals","spectroscopy, fourier transform infrared/veterinary",5
"cattle","genetic parameters",1
"cattle","milk proteins/analysis",1
"cattle","phenotype",7
"cattle","prediction accuracy",3
"cattle","spectroscopy, fourier transform infrared/veterinary",4
"genetic parameters","milk proteins/analysis",1
"genetic parameters","milk/chemistry",1
"genetic parameters","phenotype",2
"genetic parameters","prediction accuracy",1
"genetic parameters","reproducibility of results",1
"genetic parameters","spectroscopy, fourier transform infrared/veterinary",1
"milk proteins/analysis","phenotype",2
"milk proteins/analysis","prediction accuracy",1
"milk proteins/analysis","reproducibility of results",1
"milk proteins/analysis","spectroscopy, fourier transform infrared/veterinary",1
"milk/chemistry","phenotype",4
"milk/chemistry","prediction accuracy",2
"milk/chemistry","reproducibility of results",1
"milk/chemistry","spectroscopy, fourier transform infrared/veterinary",4
"phenotype","prediction accuracy",3
"phenotype","reproducibility of results",2
"phenotype","spectroscopy, fourier transform infrared/veterinary",2
"prediction accuracy","reproducibility of results",1
"prediction accuracy","spectroscopy, fourier transform infrared/veterinary",1
"reproducibility of results","spectroscopy, fourier transform infrared/veterinary",1
"animal husbandry/methods","object detection",3
"animal husbandry/methods","ovum/physiology",5
"animal husbandry/methods","plf",10
"animals","object detection",4
"chickens/physiology","object detection",2
"chickens/physiology","ovum/physiology",5
"chickens/physiology","plf",4
"housing, animal","object detection",2
"housing, animal","ovum/physiology",1
"housing, animal","poultry",4
"object detection","ovum/physiology",1
"object detection","plf",2
"object detection","poultry",2
"object detection","video recording",1
"ovum/physiology","plf",1
"ovum/physiology","poultry",1
"ovum/physiology","video recording",1
"plf","video recording",1
"animals","insemination, artificial/veterinary",8
"insemination, artificial/veterinary","sheep/physiology",1
"animals","fertility",13
"cattle","fertility",8
"cattle","prediction",2
"cattle","reproduction/physiology",2
"cattle diseases","dairy cow",2
"cattle diseases","dairying/methods",2
"cattle diseases","farms",1
"cattle diseases","fertility",1
"cattle diseases","prediction",1
"cattle diseases","reproduction/physiology",1
"dairy cow","farms",3
"dairy cow","fertility",3
"dairy cow","prediction",2
"dairy cow","reproduction/physiology",3
"dairying/methods","farms",10
